id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
528;"ReCore";"Comcept";"1";"Acción, Aventura";"12";"PC, Xbox One";"2016";"Explora un mundo postapocalíptico en ReCore. Controla robots, resuelve acertijos y descubre secretos en esta aventura de acción para PC y Xbox One."
529;"Potion Tycoon";"Fictitious Game Studios";"1";"Simulación, Estrategia";"7";"PC";"2020";"Conviértete en el maestro de las pociones en Potion Tycoon. Gestiona tu tienda, crea elixires y vive la magia de los negocios en este juego de simulación y estrategia."
530;"Super Mario Maker 2";"Nintendo";"1-4";"Plataformas, Creatividad";"3";"Switch";"2019";"Crea y juega niveles en Super Mario Maker 2. Utiliza herramientas creativas, comparte tus creaciones y vive la diversión de Mario en este juego de plataformas y creatividad para la Nintendo Switch."
531;"Super Mario Maker";"Nintendo";"1-4";"Plataformas, Creatividad";"3";"Wii U, 3DS";"2015";"Da vida a tus propios niveles en Super Mario Maker. Utiliza elementos clásicos, desafía a jugadores y vive la magia de Mario en este juego de plataformas y creatividad para la Wii U y 3DS."
532;"Child of Light";"Ubisoft Montreal";"1-2";"RPG, Plataformas";"7";"PC, PS3, PS4, PS Vita, Xbox 360, Xbox One, Switch";"2014";"Explora el reino de Lemuria en Child of Light. Controla a Aurora, enfrenta criaturas místicas y vive una hermosa historia en este RPG de plataformas para múltiples plataformas."
533;"Rick and Morty Simulator: Virtual Rick-ality";"Owlchemy Labs";"1";"Aventura, VR";"18";"PC, PS VR";"2017";"Únete a las locuras de Rick y Morty en Virtual Rick-ality. Experimenta la realidad virtual, realiza experimentos y vive la experiencia caótica de la serie en este juego de aventura y VR."
534;"The Grinch: Aventuras navideñas";"Konami";"1";"Aventura, Plataformas";"3";"PS1, Dreamcast";"2000";"Disfruta de las festividades con The Grinch: Aventuras navideñas. Roba la Navidad, resuelve acertijos y vive la magia de este juego de aventura y plataformas para la PS1 y Dreamcast."
535;"Warcraft 3 Reforged";"Blizzard Entertainment";"1-12";"Estrategia en Tiempo Real, Fantasía";"16";"PC";"2020";"Revive la leyenda en Warcraft 3 Reforged. Dirige ejércitos, domina la estrategia y vive la épica batalla en este juego de estrategia en tiempo real y fantasía."
536;"Heave Ho";"Le Cartel Studio";"1-4";"Plataformas, Cooperativo";"3";"PC, Switch";"2019";"Colabora con amigos en Heave Ho. Agárrate fuerte, supera obstáculos y vive la diversión cooperativa en este juego de plataformas y cooperativo para PC y Switch."
537;"Dragon Ball Z X Keeperz";"Bandai Namco";"1-4";"Acción, RPG";"12";"PC";"2021";"Únete a la batalla en Dragon Ball Z X Keeperz. Forma tu equipo, desata poderes especiales y vive la acción de Dragon Ball en este juego de acción y RPG para PC."
538;"Forgotton Anne";"ThroughLine Games";"1";"Aventura, Plataformas";"12";"PC, PS4, Xbox One, Switch";"2018";"Embárcate en un viaje mágico en Forgotton Anne. Resuelve acertijos, descubre mundos olvidados y vive una emotiva historia en este juego de aventura y plataformas para varias plataformas."
539;"MotoGP 08";"Milestone";"1-2";"Deportes, Carreras";"3";"PC, PS2, PS3, PSP, Xbox 360, Wii";"2008";"Acelera a toda velocidad en MotoGP 08. Conviértete en un campeón, compite en circuitos icónicos y vive la emoción de las carreras en este juego de deportes y carreras para varias plataformas."
540;"New Super Mario Bros. U Deluxe";"Nintendo";"1-4";"Plataformas, Aventura";"3";"Switch";"2019";"Acompaña a Mario en New Super Mario Bros. U Deluxe. Supera obstáculos, enfrenta jefes, y vive la diversión en este juego de plataformas y aventura para la Nintendo Switch."
541;"Zak McKracken and the Alien Mindbenders";"Lucasfilm Games";"1";"Aventura Gráfica";"7";"PC, Amiga, Atari ST, C64";"1988";"Explora misterios alienígenas en Zak McKracken. Resuelve acertijos, viaja por el mundo y vive una aventura gráfica clásica en este juego para múltiples plataformas."
542;"Plants vs. Zombies: La Batalla de Neighborville";"PopCap Games";"1-4";"Shooter, Estrategia";"7";"PC, PS4, Xbox One";"2019";"Únete a la batalla en Plants vs. Zombies: La Batalla de Neighborville. Elige tu bando, combate con plantas y zombies, y vive la diversión estratégica en este juego para varias plataformas."
543;"Code of Princess";"Agatsuma Entertainment";"1";"Acción, RPG";"12";"Switch";"2012";"Lucha contra el mal en Code of Princess. Controla a héroes poderosos, enfrenta enemigos gigantes y vive la acción RPG en este juego para la Nintendo Switch."
544;"Tropico 5";"Haemimont Games";"1-4";"Estrategia, Simulación";"16";"PC, PS4, Xbox 360";"2014";"Gobierna tu propia isla en Tropico 5. Construye, gestiona recursos y vive la experiencia de ser un dictador en este juego de estrategia y simulación para varias plataformas."
545;"Micro Machines V4";"Supersonic Software";"1-4";"Carreras, Arcade";"3";"PC, PS2, PSP, DS";"2006";"Corre a toda velocidad en Micro Machines V4. Elige tu vehículo, compite en pistas divertidas y vive la emoción de las carreras en este juego de carreras y arcade para varias plataformas."
546;"Dynasty Warriors 8 Xtreme Legends";"Omega Force";"1-2";"Hack and Slash, Acción";"16";"PC, PS3, PS4, PS Vita";"2014";"Enfréntate a hordas en Dynasty Warriors 8 Xtreme Legends. Elige tu guerrero, libra batallas épicas y vive la acción hack and slash en este juego para varias plataformas."
547;"11-11: Memories Retold";"Aardman Animations";"1";"Aventura, Narrativo";"16";"PC, PS4, Xbox One";"2018";"Explora las memorias en 11-11: Memories Retold. Vive la Primera Guerra Mundial, toma decisiones difíciles y experimenta una narrativa conmovedora en este juego de aventura y narrativo."
548;"Aquanox: Deep Descent";"Digital Arrow";"1-4";"Acción, Simulación";"16";"PC";"2020";"Sumérgete en las profundidades en Aquanox: Deep Descent. Pilotea submarinos, enfrenta peligros y vive la emoción de la acción submarina en este juego para PC."
549;"World of Warplanes";"Wargaming";"1-30";"Simulación, Vuelo";"7";"PC";"2013";"Surca los cielos en World of Warplanes. Elige tu avión, participa en combates aéreos y vive la emoción de la simulación de vuelo en este juego para PC."
550;"Go, Diego, Go!";"2K Play";"1";"Aventura, Educación";"3";"Wii";"2009";"Acompaña a Diego en emocionantes aventuras en Go, Diego, Go!. Rescata animales, resuelve acertijos y vive la diversión educativa en este juego para la Nintendo Wii."
551;"SBK 09";"Milestone";"1-16";"Deportes, Carreras";"3";"PC, PS2, PS3, PSP, Xbox 360";"2009";"Acelera en el campeonato en SBK 09. Elige tu moto, compite en circuitos reales y vive la emoción de las carreras en este juego de deportes y carreras para varias plataformas."
552;"Los Autos Locos";"Variede";"1-4";"Carreras, Locura";"3";"PC, PS2, Xbox";"2000";"Participa en carreras alocadas en Los Autos Locos. Elige tu vehículo excéntrico, utiliza poderes especiales y vive la diversión de la locura en este juego para PC, PS2 y Xbox."
553;"Los Autos Locos Spelunky";"Variede";"1-4";"Aventura, Plataformas";"7";"PC, PS3, PS4, Xbox 360, Xbox One";"2012";"Explora cuevas peligrosas en Los Autos Locos Spelunky. Busca tesoros, enfrenta criaturas y vive la emoción de la aventura en este juego para varias plataformas."
554;"Praetorians";"Pyro Studios";"1-8";"Estrategia, Historia";"12";"PC";"2003";"Lidera ejércitos en Praetorians. Controla tropas, conquista territorios y vive las campañas históricas en este juego de estrategia y historia para PC."
555;"Crawl";"Powerhoof";"1-4";"Acción, Cooperativo";"16";"PC, PS4, Xbox One, Switch";"2017";"Sobrevive en mazmorras oscuras en Crawl. Lucha contra amigos, mejora tu héroe y vive la emoción del juego cooperativo en este juego para varias plataformas."
556;"Agatha Christie: The ABC Murders";"Artefacts Studio";"1";"Aventura, Misterio";"16";"PC, PS4, Xbox One";"2016";"Resuelve crímenes en Agatha Christie: The ABC Murders. Encuentra pistas, sigue el rastro del asesino y vive la intriga en este juego de aventura y misterio para varias plataformas."
557;"Nostalgia";"Red Entertainment";"1";"RPG, Aventura";"12";"DS";"2008";"Viaja en el tiempo en Nostalgia. Conoce personajes históricos, descubre secretos y vive una aventura de rol en este juego para la Nintendo DS."
558;"Encased";"Dark Crystal Games";"1";"RPG, Ciencia Ficción";"16";"PC";"2020";"Explora un mundo postapocalíptico en Encased. Crea tu personaje, enfrenta criaturas mutantes y vive la emoción del RPG de ciencia ficción en este juego para PC."
559;"Pandora's Tower";"Ganbarion";"1";"Acción, RPG";"16";"Wii";"2011";"Detén la maldición en Pandora's Tower. Explora torres, enfrenta monstruos y vive la acción RPG en este juego para la Nintendo Wii."
560;"Wii U Let's Get Fit";"Nintendo";"1";"Fitness, Simulación";"3";"Wii U";"2013";"Ponte en forma con Wii U Let's Get Fit. Realiza ejercicios, sigue rutinas y vive la experiencia de un entrenamiento virtual en este juego de fitness y simulación para la Wii U."
561;"Darksburg";"Shiro Games";"1-4";"Acción, Cooperativo";"16";"PC";"2020";"Enfrenta hordas de zombies en Darksburg. Elige tu héroe, colabora con amigos y vive la emoción del juego cooperativo en este juego de acción para PC."
562;"Far Cry: Instincts - Predator";"Ubisoft Montreal";"1-16";"Shooter, Mundo Abierto";"18";"Xbox 360";"2006";"Sobrevive en la jungla en Far Cry: Instincts - Predator. Enfréntate a depredadores, explora entornos salvajes y vive la intensidad del shooter en este juego para Xbox 360."
563;"Mad World";"PlatinumGames";"1";"Acción, Hack and Slash";"16";"Wii";"2009";"Sumérgete en un mundo caótico en Mad World. Usa tu sierra, derrota enemigos y vive la extravagancia del hack and slash en este juego de acción para la Wii."
564;"Apex Legends Mobile";"Respawn Entertainment";"1-60";"Shooter, Battle Royale";"16";"iOS, Android";"2022";"Desata la batalla en Apex Legends Mobile. Forma tu escuadrón, domina la arena y vive la emoción del battle royale en este juego para dispositivos móviles."
565;"Apex Legends";"Respawn Entertainment";"1-60";"Shooter, Battle Royale";"16";"PC, PS4, Xbox One";"2019";"Conquista la cima en Apex Legends. Elige tu leyenda, lucha en escuadrones y vive la intensidad del battle royale en este juego para varias plataformas."
566;"Pro Evolution Soccer 4";"Konami";"1-8";"Deportes, Simulación";"3";"PC, PS2, Xbox";"2004";"Disfruta del fútbol en Pro Evolution Soccer 4. Elige tu equipo, compite en ligas y vive la emoción del deporte rey en este juego de deportes y simulación para varias plataformas."
567;"Pro Evolution Soccer 3";"Konami";"1-8";"Deportes, Simulación";"3";"PC, PS2, Xbox";"2003";"Siente la pasión del fútbol en Pro Evolution Soccer 3. Controla tu equipo, ejecuta tácticas y vive la emoción de la simulación deportiva en este juego para varias plataformas."
568;"Pro Evolution Soccer 2";"Konami";"1-8";"Deportes, Simulación";"3";"PS2";"2002";"Vive la evolución del fútbol en Pro Evolution Soccer 2. Mejora tus habilidades, participa en torneos y vive la experiencia de la simulación deportiva en este juego para la PS2."
569;"Streets of Rogue";"Matt Dabrowski";"1-4";"Acción, Roguelike";"16";"PC, PS4, Xbox One, Switch";"2017";"Explora calles caóticas en Streets of Rogue. Elige tu personaje, supera desafíos y vive la diversión del roguelike en este juego para varias plataformas."
570;"Phineas y Ferb";"Altron";"1";"Aventura, Plataformas";"3";"DS";"2009";"Acompaña a Phineas y Ferb en una aventura única. Construye inventos, supera obstáculos y vive la emoción de la serie en este juego para la Nintendo DS."
571;"Codename Panzers: Cold War";"InnoGlow";"1";"Estrategia, RTS";"16";"PC";"2009";"Enfrenta la Guerra Fría en Codename Panzers: Cold War. Dirige tus fuerzas, despliega estrategias y vive la intensidad del RTS en este juego para PC."
572;"Chimparty";"NapNok Games";"1-4";"Party, Minijuegos";"3";"PS4";"2018";"Diviértete con amigos en Chimparty. Compite en minijuegos, desafía a tus rivales y vive la emoción de las fiestas en este juego para la PS4."
573;"Star Wars: Lethal Alliance";"Ubisoft Montreal";"1";"Acción, Aventura";"12";"DS, PSP";"2006";"Embárcate en una misión en Star Wars: Lethal Alliance. Sé una agente rebelde, enfrenta desafíos y vive la acción de Star Wars en este juego para la DS y PSP."
574;"Imagina ser: Cocinera";"Ubisoft";"1";"Simulación, Infantil";"3";"DS";"2009";"Conviértete en chef en Imagina ser: Cocinera. Crea recetas, atiende a clientes y vive la experiencia culinaria en este juego para la Nintendo DS."
575;"Silent Hill";"Konami";"1";"Survival Horror, Aventura";"18";"PS1";"1999";"Adéntrate en el horror en Silent Hill. Explora la ciudad, enfrenta criaturas aterradoras y vive la experiencia del survival horror en este juego para la PlayStation 1."
576;"Mini Ninjas";"IO Interactive";"1";"Acción, Aventura";"7";"PC, PS3, Xbox 360, Wii, DS";"2009";"Embárcate en una épica aventura en Mini Ninjas. Conviértete en un pequeño ninja, derrota a malvados samuráis y vive la acción en este juego para varias plataformas."
577;"Fable: The Lost Chapters";"Lionhead Studios";"1";"RPG, Acción";"16";"PC, Xbox";"2005";"Forja tu destino en Fable: The Lost Chapters. Toma decisiones, desarrolla habilidades y vive la épica de un RPG de acción en este juego para PC y Xbox."
578;"Tales of Graces";"Namco Tales Studio";"1";"RPG, Acción";"12";"Wii, PS3";"2009";"Embárcate en una emocionante saga en Tales of Graces. Conoce personajes inolvidables, libra batallas épicas y vive la narrativa en este juego para la Wii y PS3."
579;"Angry Alligator";"Crazy Rocks";"1-4";"Acción, Cooperativo";"7";"PC";"2020";"Sobrevive en el pantano en Angry Alligator. Controla un caimán, colabora con amigos y vive la diversión cooperativa en este juego de acción para PC."
580;"Smoke and Sacrifice";"Solar Sail Games";"1";"Aventura, RPG";"12";"PC, PS4, Xbox One, Switch";"2018";"Descubre un mundo oscuro en Smoke and Sacrifice. Aventúrate en un viaje, enfrenta criaturas únicas y vive la historia en este juego para varias plataformas."
581;"Fahrenheit: Indigo Prophecy Remastered";"Quantic Dream";"1";"Aventura, Narrativo";"18";"PC, PS4, Xbox One";"2005";"Sumérgete en una historia intrigante en Fahrenheit: Indigo Prophecy Remastered. Toma decisiones, resuelve misterios y vive la experiencia narrativa en este juego para varias plataformas."
582;"Scribblenauts Showdown";"Shiver Entertainment";"1-4";"Puzzle, Party";"7";"PS4, Xbox One, Switch";"2018";"Desata tu creatividad en Scribblenauts Showdown. Resuelve acertijos, compite en desafíos y vive la diversión en este juego de puzles y fiestas para varias plataformas."
583;"Baroque";"Sting Entertainment";"1";"RPG, Roguelike";"16";"PS2, PS1, Saturn";"1998";"Explora mazmorras en constante cambio en Baroque. Enfréntate a criaturas grotescas, descubre secretos y vive la emoción del RPG roguelike en este juego para la PS2, PS1 y Saturn."
584;"Jet Set Radio";"Smilebit";"1";"Acción, Deportes";"12";"Dreamcast";"2000";"Únete a la revolución en Jet Set Radio. Patina por la ciudad, realiza trucos asombrosos y vive la cultura urbana en este juego de acción y deportes para la Dreamcast."
585;"Dark";"Realmforge Studios";"1";"Acción, RPG";"16";"PC";"2013";"Sumérgete en la oscuridad en Dark. Conviértete en un vampiro, desata poderes oscuros y vive la acción del RPG en este juego para PC."
586;"Abandon Ship";"Fireblade Software";"1";"Estrategia, Simulación";"16";"PC";"2019";"Navega en mares peligrosos en Abandon Ship. Dirige tu barco, combate en batallas navales y vive la emoción de la estrategia y simulación en este juego para PC."
587;"Gears of War 2: GOTY";"Epic Games";"1-2";"Shooter, Acción";"18";"Xbox 360";"2009";"Enfréntate a la amenaza Locust en Gears of War 2: GOTY. Únete a Marcus Fenix, lucha contra hordas de enemigos y vive la intensidad del shooter en este juego para la Xbox 360."
588;"Suikoden I&II HD Remaster";"Konami";"1";"RPG, Estrategia";"12";"PS3, PSP";"2012";"Únete a la batalla en Suikoden I&II HD Remaster. Recluta personajes, libra guerras estratégicas y vive la épica del RPG en este juego para la PS3 y PSP."
589;"Fueled Up";"Fuel Games";"1-4";"Carreras, Arcade";"3";"PC, PS4, Xbox One";"2021";"Acelera en Fueled Up. Elige tu vehículo, compite en pistas emocionantes y vive la diversión del juego de carreras arcade en este juego para varias plataformas."
590;"FIFA 21: Ultimate Team";"EA Vancouver";"1-22";"Deportes, Simulación";"3";"PC, PS4, Xbox One";"2020";"Experimenta la emoción del fútbol en FIFA 21: Ultimate Team. Construye tu equipo, compite en ligas y vive la autenticidad del simulador deportivo en este juego para varias plataformas."
591;"Call of Duty: Ghosts Onslaught";"Infinity Ward";"1-18";"Shooter, Acción";"18";"PC, PS3, PS4, Xbox 360, Xbox One";"2014";"Enfréntate a nuevas misiones en Call of Duty: Ghosts Onslaught. Únete a las fuerzas especiales, derrota enemigos y vive la intensidad del shooter en este juego para varias plataformas."
592;"Kid Icarus Uprising";"Sora Ltd.";"1";"Acción, Aventura";"12";"3DS";"2012";"Embárcate en una odisea celestial en Kid Icarus Uprising. Vuela con Pit, enfrenta criaturas mitológicas y vive la acción y aventura en este juego para la Nintendo 3DS."
593;"Firefighting Simulator";"Chronos Unterhaltungssoftware";"1-4";"Simulación, Cooperativo";"3";"PC";"2020";"Conviértete en un héroe del fuego en Firefighting Simulator. Dirige tu equipo, apaga incendios y vive la emoción de la simulación cooperativa en este juego para PC."
594;"The Impossible Game";"FlukeDude Ltd.";"1";"Plataformas, Música";"3";"iOS, Android";"2009";"Supera desafíos imposibles en The Impossible Game. Salta obstáculos, sigue el ritmo y vive la adrenalina de la plataforma musical en este juego para dispositivos móviles."
595;"Runaway Trilogía";"Pendulo Studios";"1";"Aventura Gráfica";"16";"PC";"2003";"Embárcate en una épica travesía en Runaway Trilogía. Resuelve misterios, interactúa con personajes y vive la narrativa en este juego de aventura gráfica para PC."
596;"Rustler (Grand Theft Horse)";"Jutsu Games";"1";"Acción, Aventura";"16";"PC, PS4, Xbox One, Switch";"2021";"Explora un mundo medieval en Rustler (Grand Theft Horse). Realiza fechorías, monta caballos y vive la diversión del sandbox en este juego para varias plataformas."
597;"Red Wings: Aces of the Sky";"All in! Games";"1-16";"Acción, Simulación";"7";"PC, PS4, Xbox One, Switch";"2020";"Participa en emocionantes combates aéreos en Red Wings: Aces of the Sky. Pilotea aviones históricos, realiza maniobras y vive la experiencia de la simulación de vuelo en este juego para varias plataformas."
598;"Space Hulk: Tactics";"Cyanide Studio";"1";"Estrategia, Tácticas";"16";"PC, PS4, Xbox One";"2018";"Enfrenta a los Genestealers en Space Hulk: Tactics. Dirige tus tropas, utiliza tácticas y vive la intensidad de la estrategia y tácticas en este juego para varias plataformas."
599;"Fire Emblem Fates: Estirpe";"Intelligent Systems";"1";"RPG, Estrategia";"12";"3DS";"2015";"Forja tu destino en Fire Emblem Fates: Estirpe. Elige tu bando, lidera ejércitos y vive la epopeya del RPG de estrategia en este juego para la Nintendo 3DS."
600;"Rabbids: Party of Legends";"Ubisoft Paris";"1-4";"Party, Minijuegos";"3";"Switch";"2022";"Diviértete con los Rabbids en Rabbids: Party of Legends. Compite en minijuegos, desafía a tus amigos y vive la locura de las fiestas en este juego para la Nintendo Switch."
601;"Final Fantasy XIV - Stormblood";"Square Enix";"1";"RPG, MMORPG";"16";"PC, PS4";"2017";"Embárcate en nuevas aventuras en Final Fantasy XIV - Stormblood. Explora reinos, enfrenta desafíos y vive la experiencia del MMORPG en este juego para PC y PS4."
602;"Bratz: La Película";"Torus Games";"1-4";"Aventura, Moda";"3";"PC, PS2, Xbox";"2007";"Acompaña a las Bratz en su propia película. Vive aventuras, crea estilos de moda y explora el mundo de la moda en este juego para PC, PS2 y Xbox."
603;"Disney Classic Games Aladdin and The Lion King";"Digital Eclipse";"1";"Plataformas, Retro";"7";"PC, PS4, Xbox One, Switch";"2019";"Revive clásicos de Disney en Disney Classic Games Aladdin and The Lion King. Juega títulos retro, disfruta de extras y vive la nostalgia en este juego para varias plataformas."
604;"Wasteland 3";"inXile Entertainment";"1-4";"RPG, Estrategia";"18";"PC, PS4, Xbox One";"2020";"Navega por un páramo postapocalíptico en Wasteland 3. Forma tu equipo, toma decisiones y vive la epopeya del RPG de estrategia en este juego para varias plataformas."
605;"Red Dead Redemption GOTY";"Rockstar San Diego";"1-16";"Acción, Mundo Abierto";"18";"PS3, Xbox 360";"2010";"Explora el salvaje oeste en Red Dead Redemption GOTY. Conviértete en un forajido, enfrenta desafíos y vive la autenticidad del mundo abierto en este juego para la PS3 y Xbox 360."
606;"Total War: ELYSIUM";"Creative Assembly";"1-4";"Estrategia, Cartas";"16";"PC";"2020";"Dirige tus ejércitos en Total War: ELYSIUM. Colecciona cartas, despliega tácticas y vive la estrategia en este juego de cartas para PC."
607;"N3 Ninety-Nine Nights";"Q Entertainment";"1-2";"Acción, Hack and Slash";"16";"Xbox 360";"2006";"Enfréntate a hordas de enemigos en N3 Ninety-Nine Nights. Elige tu personaje, ejecuta combos y vive la acción del hack and slash en este juego para la Xbox 360."
608;"Shin Megami Tensei: DDS2";"Atlus";"1";"RPG, Fantasía";"16";"PS2";"2005";"Descubre el mundo de Shin Megami Tensei: DDS2. Enfrenta demonios, toma decisiones y vive la epopeya del RPG de fantasía en este juego para la PS2."
609;"The King of Fighters '97 Global Match";"SNK";"1-2";"Lucha, Arcade";"12";"PC, PS4, PS Vita";"2018";"Participa en el torneo en The King of Fighters '97 Global Match. Elige tu equipo, realiza combos y vive la emoción del juego de lucha arcade en este título para varias plataformas."
610;"Hitman Sniper: The Shadows";"Square Enix";"1";"Acción, Estrategia";"16";"iOS, Android";"2022";"Conviértete en un francotirador en Hitman Sniper: The Shadows. Cumple misiones, elimina objetivos y vive la estrategia en este juego para dispositivos móviles."
611;"Fullmetal Alchemist: Brotherhood";"Bandai Namco";"1";"Aventura, Acción";"16";"PSP";"2010";"Únete a los hermanos Elric en Fullmetal Alchemist: Brotherhood. Desentraña misterios, utiliza alquimia y vive la acción en este juego para la PSP."
612;"Samurai Warriors: Spirit of Sanada";"Omega Force";"1";"Hack and Slash, Historia";"16";"PC, PS4";"2017";"Explora el Japón feudal en Samurai Warriors: Spirit of Sanada. Lucha en batallas históricas, lidera clanes y vive la emoción del hack and slash en este juego para PC y PS4."
613;"Valentino Rossi: The Game";"Milestone";"1-16";"Carreras, Moto";"3";"PC, PS4, Xbox One";"2016";"Siente la velocidad en Valentino Rossi: The Game. Únete al mundo de las motos, compite en campeonatos y vive la emoción de las carreras en este juego para varias plataformas."
614;"GRAW 2";"Ubisoft Paris";"1-16";"Shooter, Acción";"16";"PC, PS3, Xbox 360";"2007";"Enfréntate a amenazas terroristas en GRAW 2. Únete a las fuerzas especiales, participa en operaciones y vive la intensidad del shooter en este juego para PC, PS3 y Xbox 360."
615;"Kholat";"IMGN.PRO";"1";"Aventura, Horror";"18";"PC, PS4, Xbox One";"2015";"Explora los misterios de los Urales en Kholat. Sobrevive a condiciones extremas, descubre la verdad y vive la tensión del juego de aventuras y horror en varias plataformas."
616;"Punch-Out!!";"Next Level Games";"1-2";"Deportes, Boxeo";"3";"Wii";"2009";"Sube al ring en Punch-Out!!. Conviértete en el campeón, esquiva golpes y vive la emoción del boxeo en este juego para la Wii."
617;"Metal Slug 3D";"SNK Playmore";"1";"Shooter, Acción";"16";"PS2";"2006";"Únete a la batalla en Metal Slug 3D. Dispara a enemigos, rescata prisioneros y vive la acción del shooter en tercera persona en este juego para la PS2."
618;"Captain Tsubasa: Rise of New Champions";"Tamsoft";"1-4";"Deportes, Anime";"12";"PC, PS4, Switch";"2020";"Experimenta el fútbol anime en Captain Tsubasa: Rise of New Champions. Crea tu equipo, realiza tiros especiales y vive la emoción del deporte en este juego para varias plataformas."
619;"Extinction";"Iron Galaxy";"1";"Acción, Aventura";"16";"PC, PS4, Xbox One";"2018";"Enfrenta gigantes en Extinction. Protege la humanidad, utiliza habilidades especiales y vive la emoción de la acción y aventura en este juego para varias plataformas."
620;"Yu-Gi-Oh: Arc-V Tag Force Special";"Konami";"1-2";"Estrategia, Cartas";"7";"PSP";"2015";"Participa en duelos de cartas en Yu-Gi-Oh: Arc-V Tag Force Special. Construye tu mazo, desafía a oponentes y vive la estrategia en este juego para la PSP."
621;"Fallout 3: The Pitt";"Bethesda Game Studios";"1";"RPG, Acción";"18";"PC, PS3, Xbox 360";"2009";"Explora el yermo en Fallout 3: The Pitt. Enfréntate a peligros, toma decisiones y vive la experiencia del RPG de acción en este juego para PC, PS3 y Xbox 360."
622;"MotoGP 20";"Milestone";"1-22";"Carreras, Simulación";"3";"PC, PS4, Xbox One";"2020";"Acelera en MotoGP 20. Personaliza tu moto, compite en campeonatos y vive la emoción de las carreras de motos en este juego para varias plataformas."
623;"Oceanhorn 2: Knights of the Lost Realm";"Cornfox & Bros.";"1";"Aventura, RPG";"7";"iOS, Switch";"2019";"Embárcate en una aventura épica en Oceanhorn 2: Knights of the Lost Realm. Resuelve acertijos, derrota monstruos y vive la narrativa en este juego para iOS y Nintendo Switch."
624;"Forza Motorsport 6";"Turn 10 Studios";"1-2";"Carreras, Simulación";"3";"Xbox One";"2015";"Experimenta la velocidad en Forza Motorsport 6. Elige tu coche, compite en circuitos famosos y vive la simulación de carreras en este juego para la Xbox One."
625;"Zero Escape: Virtue's Last Reward";"Chunsoft";"1";"Aventura, Novela Visual";"16";"PS Vita";"2012";"Descubre secretos en Zero Escape: Virtue's Last Reward. Toma decisiones, resuelve enigmas y vive la experiencia de la novela visual en este juego para la PS Vita."
626;"Katana Zero";"Askiisoft";"1";"Acción, Plataformas";"18";"PC, Switch";"2019";"Desata tu espada en Katana Zero. Supera desafíos, maneja el tiempo y vive la acción de las plataformas en este juego para PC y Nintendo Switch."
627;"Crash Bandicoot 3: Warped";"Naughty Dog";"1";"Plataformas, Aventura";"7";"PS1, PS3, PS Vita";"1998";"Acompaña a Crash en una nueva aventura en Crash Bandicoot 3: Warped. Salta obstáculos, derrota jefes y vive la diversión de las plataformas en este juego para la PS1, PS3 y PS Vita."
628;"Dungeon Hunter Champions";"Gameloft";"1-4";"RPG, Acción";"12";"iOS, Android";"2018";"Explora mazmorras en Dungeon Hunter Champions. Forma tu equipo, derrota monstruos y vive la acción del RPG en este juego para dispositivos móviles."
629;"Heroes & Generals";"Reto-Moto";"1-32";"Shooter, Estrategia";"16";"PC";"2016";"Participa en batallas masivas en Heroes & Generals. Elige tu bando, utiliza tácticas y vive la combinación de shooter y estrategia en este juego para PC."
630;"Fable Anniversary";"Lionhead Studios";"1";"RPG, Acción";"16";"PC, Xbox 360";"2014";"Forja tu leyenda en Fable Anniversary. Toma decisiones, desarrolla tu personaje y vive la epopeya del RPG de acción en este juego para PC y Xbox 360."
631;"Lara Croft and the Guardian of Light";"Crystal Dynamics";"1-2";"Acción, Aventura";"12";"PC, PS3, Xbox 360";"2010";"Acompaña a Lara Croft en una aventura en Lara Croft and the Guardian of Light. Resuelve puzles, combate enemigos y vive la experiencia de la acción y aventura en este juego para PC, PS3 y Xbox 360."
632;"MMSF 3: Black Ace";"Capcom";"1";"RPG, Acción";"7";"DS";"2008";"Explora el mundo digital en MMSF 3: Black Ace. Combate contra enemigos, recolecta cartas y vive la emoción del RPG de acción en este juego para la Nintendo DS."
633;"Shin Megami Tensei 3";"Atlus";"1";"RPG, Fantasía";"16";"PS2";"2003";"Descubre el mundo de Shin Megami Tensei 3. Enfrenta demonios, toma decisiones y vive la epopeya del RPG de fantasía en este juego para la PS2."
634;"AO Tennis 2";"Big Ant Studios";"1-4";"Deportes, Simulación";"3";"PC, PS4, Xbox One";"2020";"Conviértete en una estrella del tenis en AO Tennis 2. Crea tu jugador, compite en torneos y vive la simulación del deporte en este juego para varias plataformas."
635;"Enslaved";"Ninja Theory";"1";"Acción, Aventura";"16";"PC, PS3, Xbox 360";"2010";"Escapa de un mundo postapocalíptico en Enslaved. Forma una alianza, supera obstáculos y vive la narrativa de acción y aventura en este juego para PC, PS3 y Xbox 360."
636;"Wolfstride";"Studio Drydock";"1";"RPG, Mechas";"16";"PC";"2021";"Participa en combates de mechas en Wolfstride. Personaliza tu robot, lucha en la arena y vive la experiencia del RPG de mechas en este juego para PC."
637;"Trine 2: Complete Story";"Frozenbyte";"1-3";"Puzles, Plataformas";"12";"PC, PS4, Xbox One, Switch";"2013";"Supera desafíos en Trine 2: Complete Story. Colabora con amigos, utiliza habilidades únicas y vive la diversión de los puzles y plataformas en este juego para varias plataformas."
